Institution_ID,Institution_Name,Institution_City
100016,Community College of the Air Force,Montgomery
100025,Alabama A & M University,Normal
100034,University of Alabama at Birmingham,Birmingham
100043,Amridge University,Montgomery
100052,University of Alabama at Huntsville,Huntsville
100061,Alabama State University,Montgomery
100089,The University of Alabama,Tuscaloosa
100098,Central Alabama Community College,Alexander City
100104,Athens State University,Athens
100113,Auburn University-Montgomery,Montgomery
100122,Auburn University Main Campus,Auburn University
100140,Birmingham Southern College,Birmingham
100168,Chattahoochee Valley Community College,Phenix City
100177,Concordia College Alabama,Selma
100201,DCH Regional Medical Center,Tuscaloosa
100210,Enterprise State Community College,Enterprise
100229,James H. Faulkner State Community College,Bay Minette
100238,Faulkner University,Montgomery
100247,Gadsden Business College,Rainbow City
100256,Gadsden State Community College,Gadsden
100274,George C Wallace Community College - Dothan,Dothan
100283,Wallace State Community College  - Hanceville,Hanceville
100292,George Corley Wallace State Community College - Selma,Selma
100326,Huntingdon College,Montgomery
100335,Huntsville Hospital,Huntsville
100344,Heritage Christian University,Florence
100353,J.F. Drake State Community and Technical College,Huntsville
100362,J F Ingram State Technical College,Deatsville
100371,Jacksonville State University,Jacksonville
100380,Jefferson Davis Community College,Brewton
100399,Jefferson State Community College,Birmingham
100405,Calhoun Community College,Tanner
100423,Judson College,Marion
100441,University of West Alabama,Livingston
100450,Lurleen B Wallace Community College,Andalusia
100469,Marion Military Institute,Marion
100487,Miles College,Fairfield
100496,University of Mobile,Mobile
100502,University of Montevallo,Montevallo
100511,Northwest-Shoals Community College - Muscle Shoals,Muscle Shoals
100520,University of North Alabama,Florence
100539,Northeast Alabama Community College,Rainsville
100548,Northwest-Shoals Community College - Phil Campbell,Phil Campbell
100557,Oakwood University,Huntsville
100566,Alabama Southern Community College,Monroeville
100575,Prince Institute - Southeast,Elmhurst
100584,Reid State Technical College,Evergreen
100593,Bishop State Community College,Mobile
100609,Samford University,Birmingham
100618,Shelton State Community College,Tuscaloosa
100627,Snead State Community College,Boaz
100636,University of South Alabama,Mobile
100645,Southern Community College,Tuskegee
100654,Spring Hill College,Mobile
100663,Southeastern Bible College,Birmingham
100672,Stillman College,Tuscaloosa
100681,Talladega College,Talladega
100690,H. Councill Trenholm State Community College,Montgomery
100733,Troy University,Troy
100742,Tuskegee University,Tuskegee
100751,United States Sports Academy,Daphne
100760,Bevill State Community College,Sumiton
100779,University of Alaska Anchorage,Anchorage
100788,University of Alaska Fairbanks,Fairbanks
100797,University of Alaska Southeast,Juneau
100803,Alaska Pacific University,Anchorage
100812,Alaska Vocational Technical Center,Seward
100821,Charter College,Anchorage
100830,Prince William Sound Community College,Valdez
100849,Sheldon Jackson College,Sitka
100858,Alaska Career College,Anchorage
100876,Everest College - Phoenix,Phoenix
100919,Thunderbird School of Global Management,Glendale
100928,American Indian College,Phoenix
100937,American Institute of Trucking,Phoenix
100946,Carrington College - Phoenix,Phoenix
100973,College America - Flagstaff,Flagstaff
100982,Arizona Academy of Beauty Inc,Tucson
100991,Arizona Automotive Institute,Glendale
101000,International Institute of the Americas,Phoenix
101019,Arizona State University,Tempe
101028,Arizona Western College,Yuma
101037,University of Arizona,Tucson
101046,Southwest University of Visual Arts,Tucson
101055,Brillare Hairdressing Academy - Scottsdale,Scottsdale
101064,Central Arizona College,Coolidge
101082,Charles of Italy Beauty College,Lake Havasu City
101091,Cochise College,Douglas
101125,Cortiva Institute - Desert Institute of the Healing Arts,Tucson
101134,DeVoe College of Beauty,Sierra Vista
101152,Avalon School of Cosmetology,Mesa
101161,Eastern Arizona College,Thatcher
101189,Frank Lloyd Wright School of Architecture,Scottsdale
101198,Maricopa Community Colleges - Glendale Community College,Glendale
101204,Grand Canyon University,Phoenix
101213,Anthem College - Phoenix,Phoenix
